"","x"
"964","Bayelsa"
"965","Bayelsa"
"966","Bayelsa"
"967","Bayelsa"
"968","Bayelsa"
"969","Bayelsa"
"970","Cross River"
"971","Cross River"
"972","Cross River"
"973","Cross River"
"974","Cross River"
"975","Cross River"
"976","Cross River"
"977","Cross River"
"978","Cross River"
"979","Cross River"
"980","Cross River"
"981","Cross River"
"982","Cross River"
"983","Cross River"
"984","Cross River"
"985","Delta"
"986","Delta"
"987","Delta"
"988","Delta"
"989","Delta"
"990","Delta"
"991","Delta"
"992","Delta"
"993","Delta"
"994","Delta"
"995","Delta"
"996","Delta"
"997","Delta"
"998","Delta"
"999","Delta"
"1000","Delta"
"1001","Edo"
"1002","Edo"
"1003","Edo"
"1004","Edo"
"1005","Edo"
"1006","Edo"
"1007","Edo"
"1008","Edo"
"1009","Edo"
"1010","Edo"
"1011","Edo"
"1012","Edo"
"1013","Edo"
"1014","Edo"
"1015","Edo"
"1016","Rivers"
"1017","Rivers"
"1018","Rivers"
"1019","Rivers"
"1020","Rivers"
"1021","Rivers"
"1022","Rivers"
"1023","Rivers"
"1024","Rivers"
"1025","Rivers"
"1026","Rivers"
"1027","Rivers"
"1028","Rivers"
"1029","Rivers"
"1030","Rivers"
"1031","Rivers"
"1032","Rivers"
"1033","Rivers"
"1034","Rivers"
"1035","Rivers"
"1036","Rivers"
"1037","Rivers"
"1038","Rivers"
"1039","Ekiti"
"1040","Ekiti"
"1041","Ekiti"
"1042","Ekiti"
"1043","Ekiti"
"1044","Ekiti"
"1045","Ekiti"
"1046","Ekiti"
"1047","Ekiti"
"1048","Ekiti"
"1049","Ekiti"
"1050","Ekiti"
"1051","Ekiti"
"1052","Ekiti"
"1053","Lagos"
"1054","Lagos"
"1055","Lagos"
"1056","Lagos"
"1057","Lagos"
"1058","Lagos"
"1059","Lagos"
"1060","Lagos"
"1061","Lagos"
"1062","Lagos"
"1063","Lagos"
"1064","Lagos"
"1065","Lagos"
"1066","Lagos"
"1067","Lagos"
"1068","Lagos"
"1069","Lagos"
"1070","Lagos"
"1071","Ogun"
"1072","Ogun"
"1073","Ogun"
"1074","Ogun"
"1075","Ogun"
"1076","Ogun"
"1077","Ogun"
"1078","Ogun"
"1079","Ogun"
"1080","Ogun"
"1081","Ogun"
"1082","Ogun"
"1083","Ogun"
"1084","Ogun"
"1085","Ogun"
"1086","Ondo"
"1087","Ondo"
"1088","Ondo"
"1089","Ondo"
"1090","Ondo"
"1091","Ondo"
"1092","Ondo"
"1093","Ondo"
"1094","Ondo"
"1095","Ondo"
"1096","Ondo"
"1097","Ondo"
"1098","Ondo"
"1099","Ondo"
"1100","Ondo"
"1101","Osun"
"1102","Osun"
"1103","Osun"
"1104","Osun"
"1105","Osun"
"1106","Osun"
"1107","Osun"
"1108","Osun"
"1109","Osun"
"1110","Osun"
"1111","Osun"
"1112","Osun"
"1113","Osun"
"1114","Osun"
"1115","Osun"
"1116","Oyo"
"1117","Oyo"
"1118","Oyo"
"1119","Oyo"
"1120","Oyo"
"1121","Oyo"
"1122","Oyo"
"1123","Oyo"
"1124","Oyo"
"1125","Oyo"
"1126","Oyo"
"1127","Oyo"
"1128","Oyo"
"1129","Oyo"
"1130","Oyo"
"1131","Benue"
"1132","Benue"
"1133","Benue"
"1134","Benue"
"1135","Benue"
"1136","Benue"
"1137","Benue"
"1138","Benue"
"1139","Benue"
"1140","Benue"
"1141","Benue"
"1142","Benue"
"1143","Benue"
"1144","Benue"
"1145","Benue"
"1146","Benue"
"1147","FCT"
"1148","FCT"
"1149","FCT"
"1150","FCT"
"1151","FCT"
"1152","FCT"
"1153","FCT"
"1154","FCT"
"1155","FCT"
"1156","FCT"
"1157","FCT"
"1158","FCT"
"1159","Kogi"
"1160","Kogi"
"1161","Kogi"
"1162","Kogi"
"1163","Kogi"
"1164","Kogi"
"1165","Kogi"
"1166","Kogi"
"1167","Kogi"
"1168","Kogi"
"1169","Kogi"
"1170","Kogi"
"1171","Kogi"
"1172","Kogi"
"1173","Kogi"
"1174","Kwara"
"1175","Kwara"
"1176","Kwara"
"1177","Kwara"
